[0.000s] Experiment Started
[5.223s] Block 1 Started
[6.240s] Block 1 | Stimulus 1 | Trial 1 | Freq 8Hz - Started
[9.256s] Block 1 | Stimulus 1 | Trial 1 | Freq 8Hz - Ended
[11.289s] Block 1 | Stimulus 1 | Trial 2 | Freq 8Hz - Started
[14.306s] Block 1 | Stimulus 1 | Trial 2 | Freq 8Hz - Ended
[16.339s] Block 1 | Stimulus 1 | Trial 3 | Freq 8Hz - Started
[19.356s] Block 1 | Stimulus 1 | Trial 3 | Freq 8Hz - Ended
[21.389s] Block 1 | Stimulus 1 | Trial 4 | Freq 8Hz - Started
[24.405s] Block 1 | Stimulus 1 | Trial 4 | Freq 8Hz - Ended
[26.438s] Block 1 | Stimulus 1 | Trial 5 | Freq 8Hz - Started
[29.455s] Block 1 | Stimulus 1 | Trial 5 | Freq 8Hz - Ended
[31.488s] Block 1 | Stimulus 1 | Trial 6 | Freq 8Hz - Started
[34.505s] Block 1 | Stimulus 1 | Trial 6 | Freq 8Hz - Ended
[36.538s] Block 1 | Stimulus 1 | Trial 7 | Freq 8Hz - Started
[39.554s] Block 1 | Stimulus 1 | Trial 7 | Freq 8Hz - Ended
[41.587s] Block 1 | Stimulus 1 | Trial 8 | Freq 8Hz - Started
[44.604s] Block 1 | Stimulus 1 | Trial 8 | Freq 8Hz - Ended
[46.637s] Block 1 | Stimulus 1 | Trial 9 | Freq 8Hz - Started
[49.654s] Block 1 | Stimulus 1 | Trial 9 | Freq 8Hz - Ended
[51.687s] Block 1 | Stimulus 1 | Trial 10 | Freq 8Hz - Started
[54.703s] Block 1 | Stimulus 1 | Trial 10 | Freq 8Hz - Ended
[56.736s] Block 1 | Stimulus 2 | Trial 1 | Freq 10Hz - Started
[59.753s] Block 1 | Stimulus 2 | Trial 1 | Freq 10Hz - Ended
[61.786s] Block 1 | Stimulus 2 | Trial 2 | Freq 10Hz - Started
[64.803s] Block 1 | Stimulus 2 | Trial 2 | Freq 10Hz - Ended
[66.836s] Block 1 | Stimulus 2 | Trial 3 | Freq 10Hz - Started
[69.852s] Block 1 | Stimulus 2 | Trial 3 | Freq 10Hz - Ended
[71.886s] Block 1 | Stimulus 2 | Trial 4 | Freq 10Hz - Started
[74.902s] Block 1 | Stimulus 2 | Trial 4 | Freq 10Hz - Ended
[76.935s] Block 1 | Stimulus 2 | Trial 5 | Freq 10Hz - Started
[79.952s] Block 1 | Stimulus 2 | Trial 5 | Freq 10Hz - Ended
[81.985s] Block 1 | Stimulus 2 | Trial 6 | Freq 10Hz - Started
[85.001s] Block 1 | Stimulus 2 | Trial 6 | Freq 10Hz - Ended
[87.035s] Block 1 | Stimulus 2 | Trial 7 | Freq 10Hz - Started
[90.051s] Block 1 | Stimulus 2 | Trial 7 | Freq 10Hz - Ended
[92.084s] Block 1 | Stimulus 2 | Trial 8 | Freq 10Hz - Started
[95.101s] Block 1 | Stimulus 2 | Trial 8 | Freq 10Hz - Ended
