[0.000s] Experiment Started
[5.083s] Block 1 Started
[6.100s] Block 1 | Stimulus 1 | Trial 1 | Freq 8Hz - Started
[9.108s] Block 1 | Stimulus 1 | Trial 1 | Freq 8Hz - Ended
[11.125s] Block 1 | Stimulus 1 | Trial 2 | Freq 8Hz - Started
[14.142s] Block 1 | Stimulus 1 | Trial 2 | Freq 8Hz - Ended
[16.175s] Block 1 | Stimulus 1 | Trial 3 | Freq 8Hz - Started
[19.184s] Block 1 | Stimulus 1 | Trial 3 | Freq 8Hz - Ended
[21.201s] Block 1 | Stimulus 1 | Trial 4 | Freq 8Hz - Started
[24.218s] Block 1 | Stimulus 1 | Trial 4 | Freq 8Hz - Ended
[26.251s] Block 1 | Stimulus 1 | Trial 5 | Freq 8Hz - Started
[29.259s] Block 1 | Stimulus 1 | Trial 5 | Freq 8Hz - Ended
[31.292s] Block 1 | Stimulus 1 | Trial 6 | Freq 8Hz - Started
[34.309s] Block 1 | Stimulus 1 | Trial 6 | Freq 8Hz - Ended
[36.334s] Block 1 | Stimulus 1 | Trial 7 | Freq 8Hz - Started
[39.334s] Block 1 | Stimulus 1 | Trial 7 | Freq 8Hz - Ended
[41.367s] Block 1 | Stimulus 1 | Trial 8 | Freq 8Hz - Started
[44.384s] Block 1 | Stimulus 1 | Trial 8 | Freq 8Hz - Ended
[46.409s] Block 1 | Stimulus 1 | Trial 9 | Freq 8Hz - Started
[49.426s] Block 1 | Stimulus 1 | Trial 9 | Freq 8Hz - Ended
[51.459s] Block 1 | Stimulus 1 | Trial 10 | Freq 8Hz - Started
[54.476s] Block 1 | Stimulus 1 | Trial 10 | Freq 8Hz - Ended
[56.501s] Block 1 | Stimulus 2 | Trial 1 | Freq 10Hz - Started
[59.518s] Block 1 | Stimulus 2 | Trial 1 | Freq 10Hz - Ended
[61.551s] Block 1 | Stimulus 2 | Trial 2 | Freq 10Hz - Started
[64.560s] Block 1 | Stimulus 2 | Trial 2 | Freq 10Hz - Ended
[66.593s] Block 1 | Stimulus 2 | Trial 3 | Freq 10Hz - Started
[69.609s] Block 1 | Stimulus 2 | Trial 3 | Freq 10Hz - Ended
[71.643s] Block 1 | Stimulus 2 | Trial 4 | Freq 10Hz - Started
[74.652s] Block 1 | Stimulus 2 | Trial 4 | Freq 10Hz - Ended
[76.686s] Block 1 | Stimulus 2 | Trial 5 | Freq 10Hz - Started
[79.701s] Block 1 | Stimulus 2 | Trial 5 | Freq 10Hz - Ended
[81.734s] Block 1 | Stimulus 2 | Trial 6 | Freq 10Hz - Started
[84.744s] Block 1 | Stimulus 2 | Trial 6 | Freq 10Hz - Ended
[86.777s] Block 1 | Stimulus 2 | Trial 7 | Freq 10Hz - Started
[89.794s] Block 1 | Stimulus 2 | Trial 7 | Freq 10Hz - Ended
[91.818s] Block 1 | Stimulus 2 | Trial 8 | Freq 10Hz - Started
[94.819s] Block 1 | Stimulus 2 | Trial 8 | Freq 10Hz - Ended
[96.853s] Block 1 | Stimulus 2 | Trial 9 | Freq 10Hz - Started
[99.869s] Block 1 | Stimulus 2 | Trial 9 | Freq 10Hz - Ended
[101.878s] Block 1 | Stimulus 2 | Trial 10 | Freq 10Hz - Started
[104.895s] Block 1 | Stimulus 2 | Trial 10 | Freq 10Hz - Ended
[106.928s] Block 1 | Stimulus 3 | Trial 1 | Freq 12Hz - Started
[109.936s] Block 1 | Stimulus 3 | Trial 1 | Freq 12Hz - Ended
[111.953s] Block 1 | Stimulus 3 | Trial 2 | Freq 12Hz - Started
[114.970s] Block 1 | Stimulus 3 | Trial 2 | Freq 12Hz - Ended
[117.003s] Block 1 | Stimulus 3 | Trial 3 | Freq 12Hz - Started
[120.012s] Block 1 | Stimulus 3 | Trial 3 | Freq 12Hz - Ended
[122.045s] Block 1 | Stimulus 3 | Trial 4 | Freq 12Hz - Started
[125.062s] Block 1 | Stimulus 3 | Trial 4 | Freq 12Hz - Ended
[127.095s] Block 1 | Stimulus 3 | Trial 5 | Freq 12Hz - Started
[130.104s] Block 1 | Stimulus 3 | Trial 5 | Freq 12Hz - Ended
[132.137s] Block 1 | Stimulus 3 | Trial 6 | Freq 12Hz - Started
[135.153s] Block 1 | Stimulus 3 | Trial 6 | Freq 12Hz - Ended
[137.187s] Block 1 | Stimulus 3 | Trial 7 | Freq 12Hz - Started
[140.195s] Block 1 | Stimulus 3 | Trial 7 | Freq 12Hz - Ended
[142.229s] Block 1 | Stimulus 3 | Trial 8 | Freq 12Hz - Started
[145.245s] Block 1 | Stimulus 3 | Trial 8 | Freq 12Hz - Ended
[147.271s] Block 1 | Stimulus 3 | Trial 9 | Freq 12Hz - Started
[150.271s] Block 1 | Stimulus 3 | Trial 9 | Freq 12Hz - Ended
[152.304s] Block 1 | Stimulus 3 | Trial 10 | Freq 12Hz - Started
[155.320s] Block 1 | Stimulus 3 | Trial 10 | Freq 12Hz - Ended
[157.329s] Block 1 | Stimulus 4 | Trial 1 | Freq 15Hz - Started
[160.346s] Block 1 | Stimulus 4 | Trial 1 | Freq 15Hz - Ended
[162.379s] Block 1 | Stimulus 4 | Trial 2 | Freq 15Hz - Started
[165.388s] Block 1 | Stimulus 4 | Trial 2 | Freq 15Hz - Ended
[167.405s] Block 1 | Stimulus 4 | Trial 3 | Freq 15Hz - Started
[170.421s] Block 1 | Stimulus 4 | Trial 3 | Freq 15Hz - Ended
[172.454s] Block 1 | Stimulus 4 | Trial 4 | Freq 15Hz - Started
[175.464s] Block 1 | Stimulus 4 | Trial 4 | Freq 15Hz - Ended
[177.497s] Block 1 | Stimulus 4 | Trial 5 | Freq 15Hz - Started
[180.514s] Block 1 | Stimulus 4 | Trial 5 | Freq 15Hz - Ended
[182.547s] Block 1 | Stimulus 4 | Trial 6 | Freq 15Hz - Started
[185.556s] Block 1 | Stimulus 4 | Trial 6 | Freq 15Hz - Ended
[187.589s] Block 1 | Stimulus 4 | Trial 7 | Freq 15Hz - Started
[190.606s] Block 1 | Stimulus 4 | Trial 7 | Freq 15Hz - Ended
[192.639s] Block 1 | Stimulus 4 | Trial 8 | Freq 15Hz - Started
[195.648s] Block 1 | Stimulus 4 | Trial 8 | Freq 15Hz - Ended
[197.681s] Block 1 | Stimulus 4 | Trial 9 | Freq 15Hz - Started
[200.697s] Block 1 | Stimulus 4 | Trial 9 | Freq 15Hz - Ended
[202.723s] Block 1 | Stimulus 4 | Trial 10 | Freq 15Hz - Started
[205.739s] Block 1 | Stimulus 4 | Trial 10 | Freq 15Hz - Ended
[206.756s] Block 1 Ended
[266.766s] Block 2 Started
[267.767s] Block 2 | Stimulus 1 | Trial 1 | Freq 8Hz - Started
[270.783s] Block 2 | Stimulus 1 | Trial 1 | Freq 8Hz - Ended
[272.816s] Block 2 | Stimulus 1 | Trial 2 | Freq 8Hz - Started
[275.833s] Block 2 | Stimulus 1 | Trial 2 | Freq 8Hz - Ended
[277.858s] Block 2 | Stimulus 1 | Trial 3 | Freq 8Hz - Started
[280.875s] Block 2 | Stimulus 1 | Trial 3 | Freq 8Hz - Ended
[282.908s] Block 2 | Stimulus 1 | Trial 4 | Freq 8Hz - Started
[285.917s] Block 2 | Stimulus 1 | Trial 4 | Freq 8Hz - Ended
[287.950s] Block 2 | Stimulus 1 | Trial 5 | Freq 8Hz - Started
[290.967s] Block 2 | Stimulus 1 | Trial 5 | Freq 8Hz - Ended
[293.000s] Block 2 | Stimulus 1 | Trial 6 | Freq 8Hz - Started
[296.009s] Block 2 | Stimulus 1 | Trial 6 | Freq 8Hz - Ended
[298.042s] Block 2 | Stimulus 1 | Trial 7 | Freq 8Hz - Started
[301.059s] Block 2 | Stimulus 1 | Trial 7 | Freq 8Hz - Ended
[303.092s] Block 2 | Stimulus 1 | Trial 8 | Freq 8Hz - Started
[306.101s] Block 2 | Stimulus 1 | Trial 8 | Freq 8Hz - Ended
[308.134s] Block 2 | Stimulus 1 | Trial 9 | Freq 8Hz - Started
[311.150s] Block 2 | Stimulus 1 | Trial 9 | Freq 8Hz - Ended
[313.176s] Block 2 | Stimulus 1 | Trial 10 | Freq 8Hz - Started
[316.176s] Block 2 | Stimulus 1 | Trial 10 | Freq 8Hz - Ended
[318.209s] Block 2 | Stimulus 2 | Trial 1 | Freq 10Hz - Started
[321.226s] Block 2 | Stimulus 2 | Trial 1 | Freq 10Hz - Ended
[323.235s] Block 2 | Stimulus 2 | Trial 2 | Freq 10Hz - Started
[326.252s] Block 2 | Stimulus 2 | Trial 2 | Freq 10Hz - Ended
[328.285s] Block 2 | Stimulus 2 | Trial 3 | Freq 10Hz - Started
[331.301s] Block 2 | Stimulus 2 | Trial 3 | Freq 10Hz - Ended
